cve_id,status,profile_det_id,previous_scan_profile_id,container_fullname,container_id,slim_scan_date,package_det_id,profile_det_id,purl,virtual_path,namespace,severity,fix_state
CVE-2011-3374,New,3161,-1,library/nginx:latest,3,2022-10-15 12:51:21.263000,644456,3161,pkg:deb/debian/apt@2.2.4?arch=amd64&distro=debian-11,,debian:distro:debian:11,Negligible,not-fixed
CVE-2022-0563,New,3161,-1,library/nginx:latest,3,2022-10-15 12:51:21.263000,644460,3161,pkg:deb/debian/bsdutils@1:2.36.1-8+deb11u1?arch=amd64&upstream=util-linux%402.36.1-8+deb11u1&distro=debian-11,,debian:distro:debian:11,Negligible,not-fixed
CVE-2016-2781,New,3161,-1,library/nginx:latest,3,2022-10-15 12:51:21.263000,644462,3161,pkg:deb/debian/coreutils@8.32-4+b1?arch=amd64&upstream=coreutils%408.32-4&distro=debian-11,,debian:distro:debian:11,Low,wont-fix
CVE-2017-18018,New,3161,-1,library/nginx:latest,3,2022-10-15 12:51:21.263000,644462,3161,pkg:deb/debian/coreutils@8.32-4+b1?arch=amd64&upstream=coreutils%408.32-4&distro=debian-11,,debian:distro:debian:11,Negligible,not-fixed
CVE-2021-22922,New,3161,-1,library/nginx:latest,3,2022-10-15 12:51:21.263000,644463,3161,pkg:deb/debian/curl@7.74.0-1.3+deb11u3?arch=amd64&distro=debian-11,,debian:distro:debian:11,Negligible,not-fixed
CVE-2021-22923,New,3161,-1,library/nginx:latest,3,2022-10-15 12:51:21.263000,644463,3161,pkg:deb/debian/curl@7.74.0-1.3+deb11u3?arch=amd64&distro=debian-11,,debian:distro:debian:11,Negligible,not-fixed
CVE-2022-1304,New,3161,-1,library/nginx:latest,3,2022-10-15 12:51:21.263000,644470,3161,pkg:deb/debian/e2fsprogs@1.46.2-2?arch=amd64&distro=debian-11,,debian:distro:debian:11,High,wont-fix
CVE-2011-3374,New,3161,-1,library/nginx:latest,3,2022-10-15 12:51:21.263000,644483,3161,pkg:deb/debian/libapt-pkg6.0@2.2.4?arch=amd64&upstream=apt&distro=debian-11,,debian:distro:debian:11,Negligible,not-fixed
CVE-2022-0563,New,3161,-1,library/nginx:latest,3,2022-10-15 12:51:21.263000,644487,3161,pkg:deb/debian/libblkid1@2.36.1-8+deb11u1?arch=amd64&upstream=util-linux&distro=debian-11,,debian:distro:debian:11,Negligible,not-fixed
CVE-2010-4756,New,3161,-1,library/nginx:latest,3,2022-10-15 12:51:21.263000,644491,3161,pkg:deb/debian/libc-bin@2.31-13+deb11u4?arch=amd64&upstream=glibc&distro=debian-11,,debian:distro:debian:11,Negligible,not-fixed
CVE-2018-20796,New,3161,-1,library/nginx:latest,3,2022-10-15 12:51:21.263000,644491,3161,pkg:deb/debian/libc-bin@2.31-13+deb11u4?arch=amd64&upstream=glibc&distro=debian-11,,debian:distro:debian:11,Negligible,not-fixed
CVE-2019-1010022,New,3161,-1,library/nginx:latest,3,2022-10-15 12:51:21.263000,644491,3161,pkg:deb/debian/libc-bin@2.31-13+deb11u4?arch=amd64&upstream=glibc&distro=debian-11,,debian:distro:debian:11,Negligible,not-fixed
CVE-2019-1010023,New,3161,-1,library/nginx:latest,3,2022-10-15 12:51:21.263000,644491,3161,pkg:deb/debian/libc-bin@2.31-13+deb11u4?arch=amd64&upstream=glibc&distro=debian-11,,debian:distro:debian:11,Negligible,not-fixed
CVE-2019-1010024,New,3161,-1,library/nginx:latest,3,2022-10-15 12:51:21.263000,644491,3161,pkg:deb/debian/libc-bin@2.31-13+deb11u4?arch=amd64&upstream=glibc&distro=debian-11,,debian:distro:debian:11,Negligible,not-fixed
CVE-2019-1010025,New,3161,-1,library/nginx:latest,3,2022-10-15 12:51:21.263000,644491,3161,pkg:deb/debian/libc-bin@2.31-13+deb11u4?arch=amd64&upstream=glibc&distro=debian-11,,debian:distro:debian:11,Negligible,not-fixed
CVE-2019-9192,New,3161,-1,library/nginx:latest,3,2022-10-15 12:51:21.263000,644491,3161,pkg:deb/debian/libc-bin@2.31-13+deb11u4?arch=amd64&upstream=glibc&distro=debian-11,,debian:distro:debian:11,Negligible,not-fixed
CVE-2010-4756,New,3161,-1,library/nginx:latest,3,2022-10-15 12:51:21.263000,644492,3161,pkg:deb/debian/libc6@2.31-13+deb11u4?arch=amd64&upstream=glibc&distro=debian-11,,debian:distro:debian:11,Negligible,not-fixed
CVE-2018-20796,New,3161,-1,library/nginx:latest,3,2022-10-15 12:51:21.263000,644492,3161,pkg:deb/debian/libc6@2.31-13+deb11u4?arch=amd64&upstream=glibc&distro=debian-11,,debian:distro:debian:11,Negligible,not-fixed
CVE-2019-1010022,New,3161,-1,library/nginx:latest,3,2022-10-15 12:51:21.263000,644492,3161,pkg:deb/debian/libc6@2.31-13+deb11u4?arch=amd64&upstream=glibc&distro=debian-11,,debian:distro:debian:11,Negligible,not-fixed
CVE-2022-31782,New,3161,-1,library/nginx:latest,3,2022-10-15 12:51:21.263000,644504,3161,pkg:deb/debian/libfreetype6@2.10.4+dfsg-1+deb11u1?arch=amd64&upstream=freetype&distro=debian-11,,debian:distro:debian:11,Negligible,not-fixed
CVE-2019-1010023,New,3161,-1,library/nginx:latest,3,2022-10-15 12:51:21.263000,644492,3161,pkg:deb/debian/libc6@2.31-13+deb11u4?arch=amd64&upstream=glibc&distro=debian-11,,debian:distro:debian:11,Negligible,not-fixed
CVE-2019-1010024,New,3161,-1,library/nginx:latest,3,2022-10-15 12:51:21.263000,644492,3161,pkg:deb/debian/libc6@2.31-13+deb11u4?arch=amd64&upstream=glibc&distro=debian-11,,debian:distro:debian:11,Negligible,not-fixed
CVE-2019-1010025,New,3161,-1,library/nginx:latest,3,2022-10-15 12:51:21.263000,644492,3161,pkg:deb/debian/libc6@2.31-13+deb11u4?arch=amd64&upstream=glibc&distro=debian-11,,debian:distro:debian:11,Negligible,not-fixed
CVE-2019-9192,New,3161,-1,library/nginx:latest,3,2022-10-15 12:51:21.263000,644492,3161,pkg:deb/debian/libc6@2.31-13+deb11u4?arch=amd64&upstream=glibc&distro=debian-11,,debian:distro:debian:11,Negligible,not-fixed
CVE-2022-1304,New,3161,-1,library/nginx:latest,3,2022-10-15 12:51:21.263000,644494,3161,pkg:deb/debian/libcom-err2@1.46.2-2?arch=amd64&upstream=e2fsprogs&distro=debian-11,,debian:distro:debian:11,High,wont-fix
